Station,Month,Entries Month,Exits Month
HARRISON,1,45887,"73579	"
HARRISON,2,8988,"9437	"
HARRISON,3,59768,"242185	"
HARRISON,4,57916,"58313	"
HARRISON,5,42577,"111845	"
HARRISON,6,172226,"278005	"
HARRISON,7,366635,"474204	"
HARRISON,8,185195,"82269	"
HARRISON,9,372886,"353547	"
HARRISON,10,280802,"161055	"
HARRISON,11,170099,"290414	"
HARRISON,12,252968,"149481	"
HEWES ST,1,61985,"41229	"
HEWES ST,2,89187,"69258	"
HEWES ST,3,98254,"67510	"
HEWES ST,4,94552,"63201	"
HEWES ST,5,98807,"77379	"
HEWES ST,6,95791,"75241	"
HEWES ST,7,92304,"77247	"
HEWES ST,8,93586,"78031	"
HEWES ST,9,102229,"87042	"
HEWES ST,10,105058,"90011	"
HEWES ST,11,99475,"87998	"
HEWES ST,12,82400,"72458	"
HIGH ST,1,227552,"153184	"
HIGH ST,2,223171,"149782	"
HIGH ST,3,264892,"194458	"
HIGH ST,4,314396,"243267	"
HIGH ST,5,331905,"224747	"
HIGH ST,6,311998,"199380	"
HIGH ST,7,310220,"202641	"
HIGH ST,8,327112,"212534	"
HIGH ST,9,323543,"231846	"
HIGH ST,10,343060,"250111	"
HIGH ST,11,294602,"213559	"
HIGH ST,12,224210,"164647	"
HOUSTON ST,1,372596,"248899	"
HOUSTON ST,2,229555,"151846	"
HOUSTON ST,3,371601,"243305	"
HOUSTON ST,4,398844,"258066	"
HOUSTON ST,5,391864,"254917	"
HOUSTON ST,6,278291,"185766	"
HOUSTON ST,7,368274,"254258	"
HOUSTON ST,8,245061,"168901	"
HOUSTON ST,9,315488,"215246	"
HOUSTON ST,10,381850,"261070	"
HOUSTON ST,11,358966,"245686	"
HOUSTON ST,12,302944,"200707	"
HOWARD BCH JFK,1,76759,"105946	"
HOWARD BCH JFK,2,74747,"101190	"
HOWARD BCH JFK,3,67183,"87926	"
HOWARD BCH JFK,4,82345,"94544	"
HOWARD BCH JFK,5,89187,"98018	"
HOWARD BCH JFK,6,93860,"70132	"
HOWARD BCH JFK,7,113026,"112494	"
HOWARD BCH JFK,8,126745,"180185	"
HOWARD BCH JFK,9,110420,"103600	"
HOWARD BCH JFK,10,118801,"113010	"
HOWARD BCH JFK,11,77319,"110251	"
HOWARD BCH JFK,12,83171,"64336	"
HOYT ST,1,102774,"85599	"
HOYT ST,2,99335,"78186	"
HOYT ST,3,115043,"89191	"
HOYT ST,4,119152,"93844	"
HOYT ST,5,118977,"90576	"
HOYT ST,6,114431,"88836	"
HOYT ST,7,104065,"78518	"
HOYT ST,8,97276,"76586	"
HOYT ST,9,102559,"83126	"
HOYT ST,10,95185,"86252	"
HOYT ST,11,98864,"79377	"
HOYT ST,12,103492,"80945	"
HOYT-SCHER,1,285841,"240033	"
HOYT-SCHER,2,284848,"238204	"
HOYT-SCHER,3,297519,"250577	"
HOYT-SCHER,4,307459,"267634	"
HOYT-SCHER,5,324505,"274409	"
HOYT-SCHER,6,312167,"270832	"
HOYT-SCHER,7,307847,"268885	"
HOYT-SCHER,8,305724,"269849	"
HOYT-SCHER,9,315818,"274892	"
HOYT-SCHER,10,342026,"291414	"
HOYT-SCHER,11,312217,"268283	"
HOYT-SCHER,12,256916,"225443	"
HUNTERS PT AV,1,148710,"114270	"
HUNTERS PT AV,2,145375,"116824	"
HUNTERS PT AV,3,152359,"123308	"
HUNTERS PT AV,4,163753,"132652	"
HUNTERS PT AV,5,168242,"137722	"
HUNTERS PT AV,6,161273,"133867	"
HUNTERS PT AV,7,172065,"144778	"
HUNTERS PT AV,8,158345,"137203	"
HUNTERS PT AV,9,160697,"131992	"
HUNTERS PT AV,10,179142,"147901	"
HUNTERS PT AV,11,155475,"128657	"
HUNTERS PT AV,12,137071,"110371	"
HUNTS POINT AV,1,265653,"230462	"
HUNTS POINT AV,2,254717,"212218	"
HUNTS POINT AV,3,262767,"219011	"
HUNTS POINT AV,4,278025,"228798	"
HUNTS POINT AV,5,278235,"233335	"
HUNTS POINT AV,6,253108,"232171	"
HUNTS POINT AV,7,240640,"219511	"
HUNTS POINT AV,8,173878,"228554	"
HUNTS POINT AV,9,173217,"248039	"
HUNTS POINT AV,10,193973,"253424	"
HUNTS POINT AV,11,190149,"246212	"
HUNTS POINT AV,12,167707,"207951	"
INTERVALE AV,1,80358,"83998	"
INTERVALE AV,2,80064,"84021	"
INTERVALE AV,3,84555,"87822	"
INTERVALE AV,4,81371,"88975	"
INTERVALE AV,5,86667,"95080	"
INTERVALE AV,6,80131,"88991	"
INTERVALE AV,7,78766,"82852	"
INTERVALE AV,8,74731,"77884	"
INTERVALE AV,9,82764,"88580	"
INTERVALE AV,10,91429,"97040	"
INTERVALE AV,11,81920,"88697	"
INTERVALE AV,12,67968,"74925	"
INWOOD-207 ST,1,247537,"119568	"
INWOOD-207 ST,2,242389,"114508	"
INWOOD-207 ST,3,258309,"119967	"
INWOOD-207 ST,4,289923,"134493	"
INWOOD-207 ST,5,296696,"138479	"
INWOOD-207 ST,6,310161,"153490	"
INWOOD-207 ST,7,290138,"146290	"
INWOOD-207 ST,8,271906,"142530	"
INWOOD-207 ST,9,280809,"136041	"
INWOOD-207 ST,10,268880,"125963	"
INWOOD-207 ST,11,209580,"98918	"
INWOOD-207 ST,12,214069,"101115	"
JACKSON AV,1,134086,"26515	"
JACKSON AV,2,131915,"25783	"
JACKSON AV,3,136927,"28748	"
JACKSON AV,4,127426,"25709	"
JACKSON AV,5,150985,"29575	"
JACKSON AV,6,136878,"27647	"
JACKSON AV,7,119052,"23816	"
JACKSON AV,8,116578,"22414	"
JACKSON AV,9,133681,"26503	"
JACKSON AV,10,151632,"30066	"
JACKSON AV,11,132315,"26595	"
JACKSON AV,12,109956,"23282	"
JAMAICA 179 ST,1,509239,"231497	"
JAMAICA 179 ST,2,348532,"151857	"
JAMAICA 179 ST,3,503044,"222168	"
JAMAICA 179 ST,4,525990,"230507	"
JAMAICA 179 ST,5,546695,"240674	"
JAMAICA 179 ST,6,363335,"167791	"
JAMAICA 179 ST,7,511462,"230509	"
JAMAICA 179 ST,8,331888,"149806	"
JAMAICA 179 ST,9,522958,"226647	"
JAMAICA 179 ST,10,568753,"243021	"
JAMAICA 179 ST,11,509656,"228923	"
JAMAICA 179 ST,12,436904,"193551	"
JAMAICA CENTER,1,724426,"672975	"
JAMAICA CENTER,2,548512,"515086	"
JAMAICA CENTER,3,795902,"753175	"
JAMAICA CENTER,4,831207,"790136	"
JAMAICA CENTER,5,748283,"712245	"
JAMAICA CENTER,6,518657,"497763	"
JAMAICA CENTER,7,663091,"656295	"
JAMAICA CENTER,8,579830,"581971	"
JAMAICA CENTER,9,826444,"822391	"
JAMAICA CENTER,10,896541,"879145	"
JAMAICA CENTER,11,784876,"768540	"
JAMAICA CENTER,12,684542,"677389	"
JAMAICA VAN WK,1,110027,"147377	"
JAMAICA VAN WK,2,119594,"140281	"
JAMAICA VAN WK,3,124175,"143023	"
JAMAICA VAN WK,4,126252,"143757	"
JAMAICA VAN WK,5,140949,"167656	"
JAMAICA VAN WK,6,105518,"119476	"
JAMAICA VAN WK,7,104869,"115748	"
JAMAICA VAN WK,8,121037,"133432	"
JAMAICA VAN WK,9,123483,"141084	"
JAMAICA VAN WK,10,128600,"141786	"
JAMAICA VAN WK,11,102983,"112948	"
JAMAICA VAN WK,12,100479,"112726	"
JAY ST-METROTEC,1,822530,"438551	"
JAY ST-METROTEC,2,605190,"329233	"
JAY ST-METROTEC,3,856263,"463290	"
JAY ST-METROTEC,4,934267,"518728	"
JAY ST-METROTEC,5,1016993,"587605	"
JAY ST-METROTEC,6,623571,"393283	"
JAY ST-METROTEC,7,815807,"541926	"
JAY ST-METROTEC,8,634328,"426495	"
JAY ST-METROTEC,9,941118,"643802	"
JAY ST-METROTEC,10,1023302,"699980	"
JAY ST-METROTEC,11,950580,"639644	"
JAY ST-METROTEC,12,807391,"549546	"
JEFFERSON ST,1,189256,"48294	"
JEFFERSON ST,2,137578,"34584	"
JEFFERSON ST,3,163381,"41984	"
JEFFERSON ST,4,211669,"54979	"
JEFFERSON ST,5,211665,"52849	"
JEFFERSON ST,6,206034,"52280	"
JEFFERSON ST,7,178284,"45586	"
JEFFERSON ST,8,175900,"46119	"
JEFFERSON ST,9,170048,"43365	"
JEFFERSON ST,10,203058,"50951	"
JEFFERSON ST,11,190944,"48551	"
JEFFERSON ST,12,157499,"39331	"
JFK JAMAICA CT1,1,240779,"168984	"
JFK JAMAICA CT1,2,183071,"128270	"
JFK JAMAICA CT1,3,258909,"176489	"
JFK JAMAICA CT1,4,248983,"172284	"
JFK JAMAICA CT1,5,256178,"170811	"
JFK JAMAICA CT1,6,290077,"123535	"
JFK JAMAICA CT1,7,420641,"169189	"
JFK JAMAICA CT1,8,233502,"222400	"
JFK JAMAICA CT1,9,345637,"257350	"
JFK JAMAICA CT1,10,382428,"226044	"
JFK JAMAICA CT1,11,300278,"196806	"
JFK JAMAICA CT1,12,249714,"170339	"
JKSN HT-ROOSVLT,1,1294066,"978363	"
JKSN HT-ROOSVLT,2,899899,"674900	"
JKSN HT-ROOSVLT,3,1319308,"985760	"
JKSN HT-ROOSVLT,4,1363747,"1020141	"
JKSN HT-ROOSVLT,5,1443285,"1099943	"
JKSN HT-ROOSVLT,6,1003164,"766185	"
JKSN HT-ROOSVLT,7,1350824,"1038720	"
JKSN HT-ROOSVLT,8,774394,"614115	"
JKSN HT-ROOSVLT,9,1344129,"1039983	"
JKSN HT-ROOSVLT,10,1416612,"1101747	"
JKSN HT-ROOSVLT,11,1325344,"1044581	"
JKSN HT-ROOSVLT,12,1121903,"882738	"
JOURNAL SQUARE,1,312176,"278433	"
JOURNAL SQUARE,2,27201,"27383	"
JOURNAL SQUARE,3,78127,"74441	"
JOURNAL SQUARE,4,27888,"28534	"
JOURNAL SQUARE,5,151372,"157187	"
JOURNAL SQUARE,6,386537,"405099	"
JOURNAL SQUARE,7,497954,"529594	"
JOURNAL SQUARE,8,233496,"235523	"
JOURNAL SQUARE,9,241070,"184845	"
JOURNAL SQUARE,10,138044,"112166	"
JOURNAL SQUARE,11,43485,"32455	"
JOURNAL SQUARE,12,190654,"177600	"
JUNCTION BLVD,1,509884,"415334	"
JUNCTION BLVD,2,380450,"315929	"
JUNCTION BLVD,3,555892,"461516	"
JUNCTION BLVD,4,578212,"485512	"
JUNCTION BLVD,5,612659,"542879	"
JUNCTION BLVD,6,418421,"385229	"
JUNCTION BLVD,7,582066,"492919	"
JUNCTION BLVD,8,425320,"365795	"
JUNCTION BLVD,9,558460,"486892	"
JUNCTION BLVD,10,614119,"536625	"
JUNCTION BLVD,11,569525,"486112	"
JUNCTION BLVD,12,485546,"422790	"
JUNIUS ST,1,55635,"65538	"
JUNIUS ST,2,54566,"66371	"
JUNIUS ST,3,56576,"68340	"
JUNIUS ST,4,59414,"71675	"
JUNIUS ST,5,62228,"76689	"
JUNIUS ST,6,53767,"68145	"
JUNIUS ST,7,55192,"73595	"
JUNIUS ST,8,52769,"66707	"
JUNIUS ST,9,59365,"75403	"
JUNIUS ST,10,65188,"82766	"
JUNIUS ST,11,57461,"72345	"
JUNIUS ST,12,48764,"62200	"
KEW GARDENS,1,610904,"607399	"
KEW GARDENS,2,378847,"380189	"
KEW GARDENS,3,630493,"632243	"
KEW GARDENS,4,655810,"658912	"
KEW GARDENS,5,680227,"689345	"
KEW GARDENS,6,484434,"480439	"
KEW GARDENS,7,639102,"637555	"
KEW GARDENS,8,443772,"448941	"
KEW GARDENS,9,583905,"590190	"
KEW GARDENS,10,685848,"696754	"
KEW GARDENS,11,653216,"647223	"
KEW GARDENS,12,532926,"536964	"
KINGS HWY,1,541317,"514524	"
KINGS HWY,2,360946,"347282	"
KINGS HWY,3,439877,"409784	"
KINGS HWY,4,476848,"457957	"
KINGS HWY,5,478710,"452393	"
KINGS HWY,6,335369,"322894	"
KINGS HWY,7,488888,"475928	"
KINGS HWY,8,325868,"314514	"
KINGS HWY,9,517516,"497053	"
KINGS HWY,10,531728,"512200	"
KINGS HWY,11,456519,"433786	"
KINGS HWY,12,416983,"388530	"
KINGSBRIDGE RD,1,299788,"190192	"
KINGSBRIDGE RD,2,214275,"133509	"
KINGSBRIDGE RD,3,289727,"183622	"
KINGSBRIDGE RD,4,287310,"182551	"
KINGSBRIDGE RD,5,358304,"239182	"
KINGSBRIDGE RD,6,328218,"225388	"
KINGSBRIDGE RD,7,293713,"201209	"
KINGSBRIDGE RD,8,321336,"224434	"
KINGSBRIDGE RD,9,355055,"245163	"
KINGSBRIDGE RD,10,349156,"242435	"
KINGSBRIDGE RD,11,347144,"232727	"
KINGSBRIDGE RD,12,286782,"193474	"
KINGSTON AV,1,114366,"95514	"
KINGSTON AV,2,119900,"99504	"
KINGSTON AV,3,118254,"100998	"
KINGSTON AV,4,116555,"100194	"
KINGSTON AV,5,129659,"112166	"
KINGSTON AV,6,118830,"102296	"
KINGSTON AV,7,118479,"103239	"
KINGSTON AV,8,119138,"101914	"
KINGSTON AV,9,133734,"112378	"
KINGSTON AV,10,137587,"119274	"
KINGSTON AV,11,126182,"108953	"
KINGSTON AV,12,108765,"94349	"
KINGSTON-THROOP,1,165389,"140658	"
KINGSTON-THROOP,2,168157,"146636	"
KINGSTON-THROOP,3,153582,"136812	"
KINGSTON-THROOP,4,173932,"147165	"
KINGSTON-THROOP,5,185208,"154940	"
KINGSTON-THROOP,6,124515,"104780	"
KINGSTON-THROOP,7,163686,"145591	"
KINGSTON-THROOP,8,150150,"139811	"
KINGSTON-THROOP,9,167968,"148993	"
KINGSTON-THROOP,10,198516,"176987	"
KINGSTON-THROOP,11,176440,"160733	"
KINGSTON-THROOP,12,139447,"126178	"
KNICKERBOCKER,1,70739,"69653	"
KNICKERBOCKER,2,122065,"128656	"
KNICKERBOCKER,3,121216,"123904	"
KNICKERBOCKER,4,104163,"105965	"
KNICKERBOCKER,5,135988,"144014	"
KNICKERBOCKER,6,131906,"138297	"
KNICKERBOCKER,7,132844,"141497	"
KNICKERBOCKER,8,137904,"146504	"
KNICKERBOCKER,9,151326,"159283	"
KNICKERBOCKER,10,153049,"161857	"
KNICKERBOCKER,11,138747,"150631	"
KNICKERBOCKER,12,112050,"121434	"
KOSCIUSZKO ST,1,134392,"43919	"
KOSCIUSZKO ST,2,139575,"44745	"
KOSCIUSZKO ST,3,146200,"47538	"
KOSCIUSZKO ST,4,149598,"48780	"
KOSCIUSZKO ST,5,157681,"50399	"
KOSCIUSZKO ST,6,153908,"50929	"
KOSCIUSZKO ST,7,152274,"52666	"
KOSCIUSZKO ST,8,154378,"54529	"
KOSCIUSZKO ST,9,159730,"54789	"
KOSCIUSZKO ST,10,168626,"57073	"
KOSCIUSZKO ST,11,149943,"52164	"
KOSCIUSZKO ST,12,123102,"42282	"
LACKAWANNA,1,257419,"190816	"
LACKAWANNA,2,55122,"51460	"
LACKAWANNA,3,215751,"243089	"
LACKAWANNA,4,330670,"264266	"
LACKAWANNA,5,35207,"33998	"
LACKAWANNA,6,166598,"177404	"
LACKAWANNA,7,529493,"412015	"
LACKAWANNA,8,460135,"408595	"
LACKAWANNA,9,445517,"366253	"
LACKAWANNA,10,227625,"242093	"
LACKAWANNA,11,267976,"195052	"
LACKAWANNA,12,148246,"128671	"
LAFAYETTE AV,1,128116,"53121	"
LAFAYETTE AV,2,126608,"53994	"
LAFAYETTE AV,3,130153,"54094	"
LAFAYETTE AV,4,125458,"51758	"
LAFAYETTE AV,5,149003,"60478	"
LAFAYETTE AV,6,132354,"58130	"
LAFAYETTE AV,7,124990,"59216	"
LAFAYETTE AV,8,48359,"43740	"
LAFAYETTE AV,9,68136,"63279	"
LAFAYETTE AV,10,73842,"68713	"
LAFAYETTE AV,11,69500,"63277	"
LAFAYETTE AV,12,48058,"43695	"
LEXINGTON AV/53,1,677414,"889683	"
LEXINGTON AV/53,2,457789,"602008	"
LEXINGTON AV/53,3,590842,"776914	"
LEXINGTON AV/53,4,674759,"882413	"
LEXINGTON AV/53,5,682324,"908385	"
LEXINGTON AV/53,6,461187,"619511	"
LEXINGTON AV/53,7,655043,"875347	"
LEXINGTON AV/53,8,375474,"493823	"
LEXINGTON AV/53,9,626259,"804223	"
LEXINGTON AV/53,10,542206,"704278	"
LEXINGTON AV/53,11,625452,"788842	"
LEXINGTON AV/53,12,503451,"663811	"
LEXINGTON AV/63,1,335222,"303739	"
LEXINGTON AV/63,2,307025,"297070	"
LEXINGTON AV/63,3,453920,"435682	"
LEXINGTON AV/63,4,450299,"432314	"
LEXINGTON AV/63,5,485093,"454938	"
LEXINGTON AV/63,6,316804,"309273	"
LEXINGTON AV/63,7,393922,"390756	"
LEXINGTON AV/63,8,303781,"288452	"
LEXINGTON AV/63,9,465050,"426697	"
LEXINGTON AV/63,10,523093,"496718	"
LEXINGTON AV/63,11,472527,"439462	"
LEXINGTON AV/63,12,393817,"372881	"
LIBERTY AV,1,71535,"34958	"
LIBERTY AV,2,67076,"33410	"
LIBERTY AV,3,71760,"34111	"
LIBERTY AV,4,71014,"34478	"
LIBERTY AV,5,76542,"38582	"
LIBERTY AV,6,66417,"35061	"
LIBERTY AV,7,66669,"36260	"
LIBERTY AV,8,66054,"35803	"
LIBERTY AV,9,74448,"39130	"
LIBERTY AV,10,80310,"41666	"
LIBERTY AV,11,72716,"38220	"
LIBERTY AV,12,60782,"32042	"
LIVONIA AV,1,75210,"62665	"
LIVONIA AV,2,65831,"52442	"
LIVONIA AV,3,65426,"55110	"
LIVONIA AV,4,71438,"61015	"
LIVONIA AV,5,74747,"66201	"
LIVONIA AV,6,74868,"64101	"
LIVONIA AV,7,70011,"62174	"
LIVONIA AV,8,69862,"62721	"
LIVONIA AV,9,75220,"64049	"
LIVONIA AV,10,81273,"69283	"
LIVONIA AV,11,73873,"63444	"
LIVONIA AV,12,63670,"53017	"
LONGWOOD AV,1,84144,"77019	"
LONGWOOD AV,2,81286,"74441	"
LONGWOOD AV,3,83102,"75093	"
LONGWOOD AV,4,85184,"74974	"
LONGWOOD AV,5,84973,"77198	"
LONGWOOD AV,6,76139,"72837	"
LONGWOOD AV,7,81628,"80718	"
LONGWOOD AV,8,83066,"83074	"
LONGWOOD AV,9,82880,"77329	"
LONGWOOD AV,10,86494,"80910	"
LONGWOOD AV,11,66645,"49675	"
LONGWOOD AV,12,57309,"41989	"
LORIMER ST,1,252463,"115555	"
LORIMER ST,2,251322,"137682	"
LORIMER ST,3,262006,"136113	"
LORIMER ST,4,279472,"137262	"
LORIMER ST,5,299803,"155730	"
LORIMER ST,6,289089,"149333	"
LORIMER ST,7,288236,"153355	"
LORIMER ST,8,287003,"151790	"
LORIMER ST,9,302420,"158992	"
LORIMER ST,10,299318,"153512	"
LORIMER ST,11,292034,"154981	"
LORIMER ST,12,237217,"125648	"
MARBLE HILL-225,1,130913,"29109	"
MARBLE HILL-225,2,132759,"29405	"
MARBLE HILL-225,3,135461,"30204	"
MARBLE HILL-225,4,130807,"30303	"
MARBLE HILL-225,5,140244,"33289	"
MARBLE HILL-225,6,113254,"26506	"
MARBLE HILL-225,7,119057,"27574	"
MARBLE HILL-225,8,126434,"28862	"
MARBLE HILL-225,9,128687,"30848	"
MARBLE HILL-225,10,147415,"37679	"
MARBLE HILL-225,11,138417,"32491	"
MARBLE HILL-225,12,117525,"28103	"
MARCY AV,1,290410,"111949	"
MARCY AV,2,298481,"109692	"
MARCY AV,3,393037,"144327	"
MARCY AV,4,343117,"140832	"
MARCY AV,5,411336,"280721	"
MARCY AV,6,273749,"202444	"
MARCY AV,7,350692,"272123	"
MARCY AV,8,297768,"233486	"
MARCY AV,9,439456,"345009	"
MARCY AV,10,424638,"327960	"
MARCY AV,11,382023,"305348	"
MARCY AV,12,314034,"254485	"
METROPOLITAN AV,1,166716,"71671	"
METROPOLITAN AV,2,189757,"104361	"
METROPOLITAN AV,3,167983,"96019	"
METROPOLITAN AV,4,191039,"104059	"
METROPOLITAN AV,5,193701,"118114	"
METROPOLITAN AV,6,219631,"143435	"
METROPOLITAN AV,7,210315,"146524	"
METROPOLITAN AV,8,162983,"110896	"
METROPOLITAN AV,9,203339,"138003	"
METROPOLITAN AV,10,207128,"135206	"
METROPOLITAN AV,11,249413,"195652	"
METROPOLITAN AV,12,165218,"98312	"
METS-WILLETS PT,1,55912,"50824	"
METS-WILLETS PT,2,52263,"47822	"
METS-WILLETS PT,3,115881,"120148	"
METS-WILLETS PT,4,266532,"274431	"
METS-WILLETS PT,5,227481,"243489	"
METS-WILLETS PT,6,215549,"220890	"
METS-WILLETS PT,7,201224,"206917	"
METS-WILLETS PT,8,423167,"322632	"
METS-WILLETS PT,9,317608,"249392	"
METS-WILLETS PT,10,101843,"120678	"
METS-WILLETS PT,11,65116,"60741	"
METS-WILLETS PT,12,63103,"60423	"
MIDDLETOWN RD,1,52506,"50901	"
MIDDLETOWN RD,2,49771,"48347	"
MIDDLETOWN RD,3,52677,"51126	"
MIDDLETOWN RD,4,54008,"51590	"
MIDDLETOWN RD,5,55770,"54022	"
MIDDLETOWN RD,6,51489,"49272	"
MIDDLETOWN RD,7,49301,"47852	"
MIDDLETOWN RD,8,47960,"46509	"
MIDDLETOWN RD,9,51013,"49319	"
MIDDLETOWN RD,10,55074,"53407	"
MIDDLETOWN RD,11,49947,"49237	"
MIDDLETOWN RD,12,42975,"41315	"
MONTROSE AV,1,190853,"111233	"
MONTROSE AV,2,132050,"68620	"
MONTROSE AV,3,153761,"87317	"
MONTROSE AV,4,187027,"109032	"
MONTROSE AV,5,175553,"99845	"
MONTROSE AV,6,164660,"98730	"
MONTROSE AV,7,147001,"87535	"
MONTROSE AV,8,149462,"91788	"
MONTROSE AV,9,138507,"79903	"
MONTROSE AV,10,172434,"96784	"
MONTROSE AV,11,162471,"92449	"
MONTROSE AV,12,140374,"77525	"
MORGAN AV,1,186522,"97618	"
MORGAN AV,2,135769,"68578	"
MORGAN AV,3,154284,"84241	"
MORGAN AV,4,201671,"106037	"
MORGAN AV,5,194822,"102885	"
MORGAN AV,6,182923,"97926	"
MORGAN AV,7,161695,"87716	"
MORGAN AV,8,162631,"91912	"
MORGAN AV,9,164577,"92478	"
MORGAN AV,10,190203,"103447	"
MORGAN AV,11,178240,"98041	"
MORGAN AV,12,150667,"82551	"
MORISN AV/SNDVW,1,160300,"137300	"
MORISN AV/SNDVW,2,157815,"138111	"
MORISN AV/SNDVW,3,162578,"142944	"
MORISN AV/SNDVW,4,168449,"146924	"
MORISN AV/SNDVW,5,168330,"145999	"
MORISN AV/SNDVW,6,160324,"145944	"
MORISN AV/SNDVW,7,161427,"151819	"
MORISN AV/SNDVW,8,153377,"144660	"
MORISN AV/SNDVW,9,167884,"150757	"
MORISN AV/SNDVW,10,181911,"162333	"
MORISN AV/SNDVW,11,167594,"153811	"
MORISN AV/SNDVW,12,142131,"128414	"
MORRIS PARK,1,59269,"58978	"
MORRIS PARK,2,57144,"55093	"
MORRIS PARK,3,59478,"59314	"
MORRIS PARK,4,62624,"60784	"
MORRIS PARK,5,69171,"68415	"
MORRIS PARK,6,59035,"55258	"
MORRIS PARK,7,55366,"53798	"
MORRIS PARK,8,56366,"48549	"
MORRIS PARK,9,57598,"61208	"
MORRIS PARK,10,68111,"67756	"
MORRIS PARK,11,59506,"59870	"
MORRIS PARK,12,48419,"48719	"
MOSHOLU PKWY,1,204213,"66334	"
MOSHOLU PKWY,2,197623,"66158	"
MOSHOLU PKWY,3,207276,"71600	"
MOSHOLU PKWY,4,211203,"70219	"
MOSHOLU PKWY,5,220104,"76905	"
MOSHOLU PKWY,6,202423,"71227	"
MOSHOLU PKWY,7,207354,"74136	"
MOSHOLU PKWY,8,204145,"70723	"
MOSHOLU PKWY,9,212613,"74485	"
MOSHOLU PKWY,10,211519,"73385	"
MOSHOLU PKWY,11,205081,"68675	"
MOSHOLU PKWY,12,175117,"58895	"
MT EDEN AV,1,120706,"84384	"
MT EDEN AV,2,113691,"76942	"
MT EDEN AV,3,125391,"84446	"
MT EDEN AV,4,131201,"88951	"
MT EDEN AV,5,143453,"92102	"
MT EDEN AV,6,130357,"88308	"
MT EDEN AV,7,127479,"85893	"
MT EDEN AV,8,127984,"88572	"
MT EDEN AV,9,132761,"88743	"
MT EDEN AV,10,133142,"86451	"
MT EDEN AV,11,123235,"80145	"
MT EDEN AV,12,109478,"70838	"
MYRTLE AV,1,300155,"168842	"
MYRTLE AV,2,306240,"180547	"
MYRTLE AV,3,320918,"186762	"
MYRTLE AV,4,319934,"188978	"
MYRTLE AV,5,337809,"209352	"
MYRTLE AV,6,319988,"201608	"
MYRTLE AV,7,320820,"211922	"
MYRTLE AV,8,321357,"210127	"
MYRTLE AV,9,335575,"213830	"
MYRTLE AV,10,362002,"223491	"
MYRTLE AV,11,336211,"205120	"
MYRTLE AV,12,274872,"168017	"
MYRTLE-WILLOUGH,1,149678,"85996	"
MYRTLE-WILLOUGH,2,145482,"77532	"
MYRTLE-WILLOUGH,3,151048,"83483	"
MYRTLE-WILLOUGH,4,134118,"68503	"
MYRTLE-WILLOUGH,5,165744,"89783	"
MYRTLE-WILLOUGH,6,152979,"84577	"
MYRTLE-WILLOUGH,7,145787,"82564	"
MYRTLE-WILLOUGH,8,147821,"82979	"
MYRTLE-WILLOUGH,9,160515,"87675	"
MYRTLE-WILLOUGH,10,170400,"92177	"
MYRTLE-WILLOUGH,11,156376,"85201	"
MYRTLE-WILLOUGH,12,132689,"72598	"
MYRTLE-WYCKOFF,1,548476,"331765	"
MYRTLE-WYCKOFF,2,340970,"193002	"
MYRTLE-WYCKOFF,3,501371,"291657	"
MYRTLE-WYCKOFF,4,540089,"321882	"
MYRTLE-WYCKOFF,5,530980,"310966	"
MYRTLE-WYCKOFF,6,353841,"220893	"
MYRTLE-WYCKOFF,7,471212,"298108	"
MYRTLE-WYCKOFF,8,347339,"231411	"
MYRTLE-WYCKOFF,9,483751,"304835	"
MYRTLE-WYCKOFF,10,522081,"330576	"
MYRTLE-WYCKOFF,11,488095,"317613	"
MYRTLE-WYCKOFF,12,411585,"255132	"
NASSAU AV,1,232828,"192682	"
NASSAU AV,2,261853,"260045	"
NASSAU AV,3,242309,"242561	"
NASSAU AV,4,223056,"221467	"
NASSAU AV,5,283029,"288432	"
NASSAU AV,6,268892,"272435	"
NASSAU AV,7,261353,"268699	"
NASSAU AV,8,262770,"269664	"
NASSAU AV,9,267056,"274060	"
NASSAU AV,10,293979,"305560	"
NASSAU AV,11,253381,"276635	"
NASSAU AV,12,239035,"228500	"
NECK RD,1,113879,"36126	"
NECK RD,2,109836,"34194	"
NECK RD,3,116251,"35014	"
NECK RD,4,118474,"38609	"
NECK RD,5,123001,"40422	"
NECK RD,6,115695,"37891	"
NECK RD,7,115469,"38986	"
NECK RD,8,110222,"38282	"
NECK RD,9,121570,"42114	"
NECK RD,10,124525,"41304	"
NECK RD,11,105241,"33679	"
NECK RD,12,98441,"31277	"
NEPTUNE AV,1,37427,"13358	"
NEPTUNE AV,2,33537,"12083	"
NEPTUNE AV,3,30707,"11255	"
NEPTUNE AV,4,35773,"13284	"
NEPTUNE AV,5,39782,"15342	"
NEPTUNE AV,6,37342,"14303	"
NEPTUNE AV,7,34482,"13095	"
NEPTUNE AV,8,34052,"13056	"
NEPTUNE AV,9,37766,"15043	"
NEPTUNE AV,10,41424,"16810	"
NEPTUNE AV,11,38097,"15616	"
NEPTUNE AV,12,33725,"13040	"
NEREID AV,1,78096,"32867	"
NEREID AV,2,82508,"33170	"
NEREID AV,3,86403,"35368	"
NEREID AV,4,89481,"36346	"
NEREID AV,5,90936,"41866	"
NEREID AV,6,81412,"35366	"
NEREID AV,7,85302,"36982	"
NEREID AV,8,83523,"36476	"
NEREID AV,9,75681,"32701	"
